"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1978",9110.3,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1979",8672.4,"B"
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1980",8445,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1981",8073.6,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1982",8074.8,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1983",7636.8,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1984",7544.6,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1985",7540.8,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1986",7127.8,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1987",7063.8,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1988",6892.5,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1989",6852.6,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1990",6441.9,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1991",6123.6,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1992",6066.3,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1993",5747.5,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1994",5751.5,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1995",5580.7,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1996",5504.7,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1997",5371.7,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1998",5245.8,"B"
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1999",5126.5,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2000",4944,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2001",4682.6,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2002",4584,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2003",4455.8,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2004",4317.9,
