"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","OVEROBESE","MEASURED","PC_POP15","A","1980",36.5,"D"
"AUS","OVEROBESE","MEASURED","PC_POP15","A","1983",39.7,"D"
"AUS","OVEROBESE","MEASURED","PC_POP15","A","1989",43.8,"D"
"AUS","OVEROBESE","MEASURED","PC_POP15","A","1995",59.2,
"AUS","OVEROBESE","MEASURED","PC_POP15","A","2007",61.2,"D"
"AUS","OVEROBESE","MEASURED","PC_POP15","A","2011",63.4,"D"
"AUS","OVEROBESE","MEASURED","PC_POP15","A","2014",63.4,"D"
"CAN","OVEROBESE","MEASURED","PC_POP15","A","2004",56.8,
"CAN","OVEROBESE","MEASURED","PC_POP15","A","2005",57.7,
"CAN","OVEROBESE","MEASURED","PC_POP15","A","2008",60,
"CAN","OVEROBESE","MEASURED","PC_POP15","A","2010",58.6,
"CAN","OVEROBESE","MEASURED","PC_POP15","A","2013",60.3,
"FIN","OVEROBESE","MEASURED","PC_POP15","A","1979",53.6,
"FIN","OVEROBESE","MEASURED","PC_POP15","A","2000",63.6,
"FIN","OVEROBESE","MEASURED","PC_POP15","A","2011",65,
"FIN","OVEROBESE","MEASURED","PC_POP15","A","2012",58,
"HUN","OVEROBESE","MEASURED","PC_POP15","A","1988",45.7,
"HUN","OVEROBESE","MEASURED","PC_POP15","A","2009",61.6,
"HUN","OVEROBESE","MEASURED","PC_POP15","A","2014",62.3,
"IRL","OVEROBESE","MEASURED","PC_POP15","A","2007",61,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","1978",19.6,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","1979",18.6,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","1980",19.4,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","1981",21,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","1982",20.6,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","1983",20.5,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","1984",19.6,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","1985",19.8,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","1986",20.2,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","1987",20.8,
